"Part";"Value";"Device";"Package";"Description";"PARTNO";"POPULARITY";"SPICEPREFIX";
"C1";"1pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"GCM21BR71E105KA56L";"63";"C";
"C2";"10nF 0603";"C-USC0603";"C0603";"CAPACITOR, American symbol";"  GCM188R72A103KA37D";"37";"C";
"ENCODER$1";"291V1022F832AB";"291V1022F832ABTRAY";"TRAY";"";"291V1022F832AB";"";"";
"LED$1";"WS2812B";"WS2812B";"WS2812B";"";"WS2812B";"";"";
"LED$2";"WS2812B";"WS2812B";"WS2812B";"";"WS2812B";"";"";
"LED$3";"WS2812B";"WS2812B";"WS2812B";"";"WS2812B";"";"";
"LED$4";"WS2812B";"WS2812B";"WS2812B";"";"WS2812B";"";"";
"M1";"";"NUCLEO-L452RE";"NUCLEO-64";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"";"";"";
"R1";"2.2k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"CR0805-JW-222ELF";"85";"R";
"R2";"2.2k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"CR0805-JW-222ELF";"85";"R";
"R3";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RC0805FR-074K7L";"85";"R";
